Rank,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score
107,3.27,2.22,1.4,0.29,7.16,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,96,9.1
108,3.74,2.14,0.6,0.68,7.15,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,95,9
109,2.98,1.45,2.26,0.45,7.14,Pokemon Sun/Moon,3DS,2016,Role-Playing,Nintendo,,
110,3.68,1.75,1.42,0.28,7.13,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,91,8.9
111,3.15,2.15,1.28,0.51,7.09,Mario Kart 8,WiiU,2014,Racing,Nintendo,88,9.1
112,4.41,1.04,1.39,0.22,7.07,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,92,9.1
113,4.12,1.77,0.87,0.19,6.95,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,,
114,2.71,3.02,0.08,1.09,6.9,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,82,8.6
115,2.93,2.75,0.17,0.99,6.83,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,88,8.5
116,3.23,2.35,0.94,0.3,6.82,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,,
117,4.05,2.16,0,0.55,6.76,Just Dance 4,Wii,2012,Misc,Ubisoft,74,7.3
118,4.15,1.9,0.06,0.64,6.75,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,93,7.7
119,2.77,2.75,0.19,1.03,6.74,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,92,8.3
120,3.45,2.59,0,0.66,6.71,Zumba Fitness,Wii,2010,Sports,505 Games,,tbd
121,3.11,2.26,0.28,1.03,6.68,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,94,8.4
122,3.27,2.2,0.21,0.98,6.66,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,96,8.8
123,0.84,4.3,0.11,1.39,6.65,FIFA 12,PS3,2011,Sports,Electronic Arts,,
124,1.66,2.75,1.6,0.62,6.62,Big Brain Academy,DS,2005,Misc,Nintendo,74,7.4
125,3.74,0.93,1.69,0.14,6.51,The Legend of Zelda,NES,1986,Action,Nintendo,,
126,2.79,2.53,0.17,0.99,6.49,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,95,8.8
127,0.78,4.24,0.07,1.37,6.47,FIFA 14,PS3,2013,Sports,Electronic Arts,86,4.3
128,2.64,2.52,0.16,1.12,6.45,Assassin's Creed III,PS3,2012,Action,Ubisoft,85,6.9
129,3.17,1.79,1.03,0.46,6.44,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,87,8.6
130,4.98,1.3,0.08,0.07,6.43,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,97,8.6
131,2.55,2.6,0.25,1,6.41,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,92,6.4
132,2.57,1.58,2.06,0.21,6.41,Pok茅mon Emerald Version,GBA,2004,Role-Playing,Nintendo,76,9
133,3.64,1.2,1.49,0.07,6.4,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,85,8.8
134,2.55,1.56,1.29,0.99,6.39,Pok茅mon Crystal Version,GB,2000,Role-Playing,Nintendo,,
135,4.34,1.34,0.06,0.61,6.34,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,83,7.1
136,3.7,1.95,0.09,0.58,6.32,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,95,9
137,4.01,1.26,0.87,0.17,6.31,Super Mario Sunshine,GC,2002,Platform,Nintendo,92,8.6
138,2.47,0.83,2.87,0.12,6.3,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,,
139,0.08,6.21,0,0,6.29,World of Warcraft,PC,2004,Role-Playing,Activision,93,7.3
140,3.11,2.8,0.02,0.33,6.27,Driver,PS,1999,Action,GT Interactive,87,8.1
141,4.05,1.59,0.07,0.5,6.21,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,91,7.8
142,3.92,1.73,0.03,0.51,6.19,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,73,7.4
143,3.54,1.88,0.07,0.6,6.09,Gears of War,X360,2006,Shooter,Microsoft Game Studios,94,8.3
144,0.8,4.33,0.05,0.9,6.08,FIFA 15,PS4,2014,Sports,Electronic Arts,82,5.7
145,2.45,2.01,0.87,0.72,6.05,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,96,8.7
146,4.47,1.2,0.16,0.19,6.03,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,,
147,3.18,1.83,0.78,0.24,6.03,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,94,9.4
148,2.63,1.71,0.83,0.82,5.99,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,94,8.7
149,1.88,0,2.33,1.74,5.95,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,92,7.6
150,2.41,2.18,0.28,0.99,5.87,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,95,9.1
151,2.8,1.98,0.17,0.87,5.82,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,95,6.8
152,1.88,1.47,2.02,0.45,5.82,Resident Evil 2,PS,1998,Action,Virgin Interactive,89,9.2
153,0.63,0.67,4.35,0.15,5.78,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,87,8.8
154,2.26,1.89,1.36,0.23,5.74,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,89,8.9
155,2.49,2.07,0.16,0.92,5.64,Destiny,PS4,2014,Shooter,Activision,76,6.1
156,3.57,1.55,0,0.51,5.64,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,80,8.9
157,3.07,1.91,0.07,0.57,5.63,Cooking Mama,DS,2006,Simulation,505 Games,67,7.2
158,2.97,0.69,1.81,0.11,5.58,Tetris,NES,1988,Puzzle,Nintendo,,
159,2.95,0.6,1.97,0.04,5.55,Super Smash Bros.,N64,1999,Fighting,Nintendo,,
160,2.54,1.93,0.21,0.86,5.55,Assassin's Creed II,PS3,2009,Action,Ubisoft,91,8.6
161,3.28,1.64,0.07,0.56,5.54,Assassin's Creed,X360,2007,Adventure,Ubisoft,81,7.7
162,2.99,1.9,0.1,0.5,5.49,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,92,8
163,3.14,1.24,0.91,0.2,5.49,Super Mario Advance,GBA,2001,Platform,Nintendo,84,7.8
164,0.47,0.55,4.13,0.34,5.48,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,81,8.7
165,2.71,1.85,0.11,0.81,5.48,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,96,8.6
166,2.81,2.19,0,0.47,5.48,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,97,7.9
167,2.62,1.64,0.99,0.23,5.47,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,93,8.3
168,3.21,1.11,0.95,0.2,5.46,Super Mario World,GBA,2001,Platform,Nintendo,,
169,3.18,1.24,0.94,0.09,5.45,Pokemon Stadium,N64,1999,Strategy,Nintendo,,
170,2.07,2.29,0.24,0.82,5.42,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,66,7.1
171,2.73,1.83,0,0.83,5.39,Call of Duty: World at War,PS3,2008,Shooter,Activision,85,7.6
172,1.85,2.5,0.19,0.85,5.38,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,93,7.9
173,2.18,0.96,2,0.2,5.34,Dr. Mario,GB,1989,Puzzle,Nintendo,,
174,1.74,1.21,1.87,0.51,5.33,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,83,7.3
175,3.02,1.12,1.01,0.16,5.31,Pokemon Pinball,GB,1999,Misc,Nintendo,,
176,1.62,0.77,2.78,0.14,5.3,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,94,8.9
177,3.13,1.69,0.03,0.44,5.29,Assassin's Creed III,X360,2012,Action,Ubisoft,84,6.7
178,1.92,1.08,2.11,0.17,5.29,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,85,6.6
179,3.33,0.79,1.09,0.06,5.27,Donkey Kong 64,N64,1999,Platform,Nintendo,,
180,3.22,1.55,0.01,0.48,5.27,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,81,5.4
181,2.03,2.37,0,0.87,5.26,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,,
182,3.11,1.55,0.08,0.51,5.26,Assassin's Creed II,X360,2009,Action,Ubisoft,90,8.8
183,2.3,2.46,0.2,0.28,5.24,Tomb Raider II,PS,1997,Action,Eidos Interactive,85,
184,4.26,0.26,0.01,0.71,5.23,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,94,8.5
185,0.97,2.11,1.9,0.24,5.23,Tomodachi Life,3DS,2013,Simulation,Nintendo,,
186,2.3,1.34,1.27,0.32,5.22,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,84,8.1
187,0.65,0.75,3.61,0.2,5.21,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,89,8.8
188,2.93,1.25,0.83,0.2,5.2,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,,
189,1.21,2.43,1.03,0.52,5.19,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,85,8.6
190,2.49,0.98,1.57,0.15,5.19,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,,
191,1.09,3.47,0.03,0.57,5.16,FIFA Soccer 13,X360,2012,Action,Electronic Arts,90,6.1
192,2.1,0.74,2.2,0.11,5.15,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,,
193,2.44,2.16,0,0.54,5.14,Diablo III,PC,2012,Role-Playing,Activision,88,4
194,1.98,2.23,0.13,0.8,5.13,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,68,7.6
195,2.71,0.61,1.7,0.11,5.13,Kirby's Dream Land,GB,1992,Platform,Nintendo,,
196,3.22,1.69,0,0.2,5.12,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,,
197,3.81,0.63,0,0.68,5.12,Guitar Hero II,PS2,2006,Misc,RedOctane,92,8.5
198,3.59,1.08,0.05,0.38,5.1,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,80,6.5
199,1.63,2.45,0.44,0.57,5.09,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,,
200,1.96,1.41,1.08,0.64,5.09,Resident Evil 5,PS3,2009,Action,Capcom,84,7.5
